Country,Income_group,Code,Year,Cereal_energy_share,GDP,Population
Albania,Upper middle income,ALB,1941,,,1122787
Albania,Upper middle income,ALB,1804,,,407140
Albania,Upper middle income,ALB,1946,,,1192014
Albania,Upper middle income,ALB,1907,,,865024
Albania,Upper middle income,ALB,1911,,,894559
Albania,Upper middle income,ALB,1827,,,450959
Albania,Upper middle income,ALB,1900,,,811069
Albania,Upper middle income,ALB,1780,,,391333
Albania,Upper middle income,ALB,1943,,,1149741
Albania,Upper middle income,ALB,1800,,,4e+05
Albania,Upper middle income,ALB,1942,,,1135986
Albania,Upper middle income,ALB,1710,,,311416
Albania,Upper middle income,ALB,1906,,,857164
Albania,Upper middle income,ALB,1938,,,1086421
Albania,Upper middle income,ALB,1838,,,473787
Albania,Upper middle income,ALB,1939,,,1098015
Albania,Upper middle income,ALB,1902,,,826432
Albania,Upper middle income,ALB,1828,,,452988
Albania,Upper middle income,ALB,1832,,,461196
Albania,Upper middle income,ALB,1940,,,1110133
Albania,Upper middle income,ALB,1801,,,401773
Albania,Upper middle income,ALB,1831,,,459130
Albania,Upper middle income,ALB,1913,,,907070
Albania,Upper middle income,ALB,1829,,,455027
Albania,Upper middle income,ALB,1901,,,818784
Algeria,Lower middle income,DZA,1967,,,12897121
Algeria,Lower middle income,DZA,1835,,,2762725
Algeria,Lower middle income,DZA,2017,,11737.4013671875,41136548
Algeria,Lower middle income,DZA,1872,,,3531171
Algeria,Lower middle income,DZA,1837,,,2772705
Algeria,Lower middle income,DZA,1834,,,2757748
Algeria,Lower middle income,DZA,1836,,,2767711
Algeria,Lower middle income,DZA,2014,,11512.6904296875,38760168
Algeria,Lower middle income,DZA,1965,,,12381262
Algeria,Lower middle income,DZA,1790,,,2454244
Algeria,Lower middle income,DZA,1968,,,13190979
Algeria,Lower middle income,DZA,1964,,,12179097
Algeria,Lower middle income,DZA,1873,,,3566379
Algeria,Lower middle income,DZA,1960,,,11394309
Algeria,Lower middle income,DZA,2016,,11826.1513671875,40339328
Algeria,Lower middle income,DZA,1966,,,12613398
Algeria,Lower middle income,DZA,1987,,,23586098
Algeria,Lower middle income,DZA,1780,,,2375996
Algeria,Lower middle income,DZA,2013,,11319.0830078125,38000628
Algeria,Lower middle income,DZA,1911,,,5467704
Algeria,Lower middle income,DZA,1912,,,5506688
Algeria,Lower middle income,DZA,1875,,,3637850
Algeria,Lower middle income,DZA,1863,,,3229536
Algeria,Lower middle income,DZA,1970,,,13795915
Algeria,Lower middle income,DZA,1963,,,11969449
Algeria,Lower middle income,DZA,1961,,,11598615
Algeria,Lower middle income,DZA,1959,,,11164451
Algeria,Lower middle income,DZA,2012,,11233.5166015625,37260568
Algeria,Lower middle income,DZA,2015,,11696.9501953125,39543148
Algeria,Lower middle income,DZA,1832,,,2747822
Algeria,Lower middle income,DZA,1862,,,3197653
Algeria,Lower middle income,DZA,1910,,,5417110
Algeria,Lower middle income,DZA,1947,,,8463201
Algeria,Lower middle income,DZA,1988,,,24243024
Algeria,Lower middle income,DZA,1801,,,2509126
Algeria,Lower middle income,DZA,1969,,,13491022
Algeria,Lower middle income,DZA,1838,,,2777709
Algeria,Lower middle income,DZA,1839,,,2782722
Algeria,Lower middle income,DZA,1962,,,11778265
Algeria,Lower middle income,DZA,1972,,,14439750
Algeria,Lower middle income,DZA,1973,,,14786473
Algeria,Lower middle income,DZA,1833,,,2752781
Algeria,Lower middle income,DZA,1861,,,3166085
Algeria,Lower middle income,DZA,1871,,,3496311
Algeria,Lower middle income,DZA,1977,,,17134196
Algeria,Lower middle income,DZA,1907,,,5198076
Algeria,Lower middle income,DZA,1851,,,2871698
